model,site,layer,rank,variant,permutation_seed,shared_G_bit_identical,permutation_identical_to_P1
qwen3_4b_base,down,0,8,P4,0,True,False
qwen3_4b_base,down,0,8,P5,0,True,True
qwen3_4b_base,down,1,max,P1,0,True,True
qwen3_4b_base,down,1,max,P2,0,True,False
qwen3_4b_base,down,1,max,P3,0,True,False
qwen3_4b_base,down,1,max,P3,1,True,False
qwen3_4b_base,down,1,max,P3,2,True,False
qwen3_4b_base,down,1,max,P4,0,True,True
qwen3_4b_base,down,1,max,P5,0,True,True
qwen3_4b_base,down,1,8,P1,0,True,True
qwen3_4b_base,down,1,8,P2,0,True,False
qwen3_4b_base,down,1,8,P3,0,True,False
qwen3_4b_base,down,1,8,P3,1,True,False
qwen3_4b_base,down,1,8,P3,2,True,False
qwen3_4b_base,down,1,8,P4,0,True,False
qwen3_4b_base,down,1,8,P5,0,True,True
qwen3_4b_base,down,2,max,P1,0,True,True
qwen3_4b_base,down,2,max,P2,0,True,False
qwen3_4b_base,down,2,max,P3,0,True,False
qwen3_4b_base,down,2,max,P3,1,True,False
qwen3_4b_base,down,2,max,P3,2,True,False
qwen3_4b_base,down,2,max,P4,0,True,True
qwen3_4b_base,down,2,max,P5,0,True,True
qwen3_4b_base,down,2,8,P1,0,True,True
qwen3_4b_base,down,2,8,P2,0,True,False
qwen3_4b_base,down,2,8,P3,0,True,False
qwen3_4b_base,down,2,8,P3,1,True,False
qwen3_4b_base,down,2,8,P3,2,True,False
qwen3_4b_base,down,2,8,P4,0,True,False
qwen3_4b_base,down,2,8,P5,0,True,True
qwen3_4b_base,down,3,max,P1,0,True,True
qwen3_4b_base,down,3,max,P2,0,True,False
qwen3_4b_base,down,3,max,P3,0,True,False
qwen3_4b_base,down,3,max,P3,1,True,False
qwen3_4b_base,down,3,max,P3,2,True,False
qwen3_4b_base,down,3,max,P4,0,True,True
qwen3_4b_base,down,3,max,P5,0,True,True
qwen3_4b_base,down,3,8,P1,0,True,True
qwen3_4b_base,down,3,8,P2,0,True,False
qwen3_4b_base,down,3,8,P3,0,True,False
qwen3_4b_base,down,3,8,P3,1,True,False
qwen3_4b_base,down,3,8,P3,2,True,False
qwen3_4b_base,down,3,8,P4,0,True,False
qwen3_4b_base,down,3,8,P5,0,True,True
qwen3_4b_base,down,4,max,P1,0,True,True
qwen3_4b_base,down,4,max,P2,0,True,False
qwen3_4b_base,down,4,max,P3,0,True,False
qwen3_4b_base,down,4,max,P3,1,True,False
qwen3_4b_base,down,4,max,P3,2,True,False
qwen3_4b_base,down,4,max,P4,0,True,True
qwen3_4b_base,down,4,max,P5,0,True,True
qwen3_4b_base,down,4,8,P1,0,True,True
qwen3_4b_base,down,4,8,P2,0,True,False
qwen3_4b_base,down,4,8,P3,0,True,False
qwen3_4b_base,down,4,8,P3,1,True,False
qwen3_4b_base,down,4,8,P3,2,True,False
qwen3_4b_base,down,4,8,P4,0,True,False
qwen3_4b_base,down,4,8,P5,0,True,True
qwen3_4b_base,down,5,max,P1,0,True,True
qwen3_4b_base,down,5,max,P2,0,True,False
qwen3_4b_base,down,5,max,P3,0,True,False
qwen3_4b_base,down,5,max,P3,1,True,False
qwen3_4b_base,down,5,max,P3,2,True,False
qwen3_4b_base,down,5,max,P4,0,True,True
qwen3_4b_base,down,5,max,P5,0,True,True
qwen3_4b_base,down,5,8,P1,0,True,True
qwen3_4b_base,down,5,8,P2,0,True,False
qwen3_4b_base,down,5,8,P3,0,True,False
qwen3_4b_base,down,5,8,P3,1,True,False
qwen3_4b_base,down,5,8,P3,2,True,False
qwen3_4b_base,down,5,8,P4,0,True,False
qwen3_4b_base,down,5,8,P5,0,True,True
qwen3_4b_base,down,6,max,P1,0,True,True
qwen3_4b_base,down,6,max,P2,0,True,False
qwen3_4b_base,down,6,max,P3,0,True,False
qwen3_4b_base,down,6,max,P3,1,True,False
qwen3_4b_base,down,6,max,P3,2,True,False
qwen3_4b_base,down,6,max,P4,0,True,True
qwen3_4b_base,down,6,max,P5,0,True,True
qwen3_4b_base,down,6,8,P1,0,True,True
qwen3_4b_base,down,6,8,P2,0,True,False
qwen3_4b_base,down,6,8,P3,0,True,False
qwen3_4b_base,down,6,8,P3,1,True,False
qwen3_4b_base,down,6,8,P3,2,True,False
qwen3_4b_base,down,6,8,P4,0,True,False
qwen3_4b_base,down,6,8,P5,0,True,True
qwen3_4b_base,down,7,max,P1,0,True,True
qwen3_4b_base,down,7,max,P2,0,True,False
qwen3_4b_base,down,7,max,P3,0,True,False
qwen3_4b_base,down,7,max,P3,1,True,False
qwen3_4b_base,down,7,max,P3,2,True,False
qwen3_4b_base,down,7,max,P4,0,True,True
qwen3_4b_base,down,7,max,P5,0,True,True
qwen3_4b_base,down,7,8,P1,0,True,True
qwen3_4b_base,down,7,8,P2,0,True,False
qwen3_4b_base,down,7,8,P3,0,True,False
qwen3_4b_base,down,7,8,P3,1,True,False
qwen3_4b_base,down,7,8,P3,2,True,False
qwen3_4b_base,down,7,8,P4,0,True,False
qwen3_4b_base,down,7,8,P5,0,True,True
qwen3_4b_base,down,8,max,P1,0,True,True
qwen3_4b_base,down,8,max,P2,0,True,False
qwen3_4b_base,down,8,max,P3,0,True,False
qwen3_4b_base,down,8,max,P3,1,True,False
qwen3_4b_base,down,8,max,P3,2,True,False
qwen3_4b_base,down,8,max,P4,0,True,True
qwen3_4b_base,down,8,max,P5,0,True,True
qwen3_4b_base,down,8,8,P1,0,True,True
qwen3_4b_base,down,8,8,P2,0,True,False
qwen3_4b_base,down,8,8,P3,0,True,False
qwen3_4b_base,down,8,8,P3,1,True,False
qwen3_4b_base,down,8,8,P3,2,True,False
qwen3_4b_base,down,8,8,P4,0,True,False
qwen3_4b_base,down,8,8,P5,0,True,True
qwen3_4b_base,down,9,max,P1,0,True,True
qwen3_4b_base,down,9,max,P2,0,True,False
qwen3_4b_base,down,9,max,P3,0,True,False
qwen3_4b_base,down,9,max,P3,1,True,False
qwen3_4b_base,down,9,max,P3,2,True,False
qwen3_4b_base,down,9,max,P4,0,True,True
qwen3_4b_base,down,9,max,P5,0,True,True
qwen3_4b_base,down,9,8,P1,0,True,True
qwen3_4b_base,down,9,8,P2,0,True,False
qwen3_4b_base,down,9,8,P3,0,True,False
qwen3_4b_base,down,9,8,P3,1,True,False
qwen3_4b_base,down,9,8,P3,2,True,False
qwen3_4b_base,down,9,8,P4,0,True,False
qwen3_4b_base,down,9,8,P5,0,True,True
qwen3_4b_base,down,10,max,P1,0,True,True
qwen3_4b_base,down,10,max,P2,0,True,False
qwen3_4b_base,down,10,max,P3,0,True,False
qwen3_4b_base,down,10,max,P3,1,True,False
qwen3_4b_base,down,10,max,P3,2,True,False
qwen3_4b_base,down,10,max,P4,0,True,True
qwen3_4b_base,down,10,max,P5,0,True,True
qwen3_4b_base,down,10,8,P1,0,True,True
qwen3_4b_base,down,10,8,P2,0,True,False
qwen3_4b_base,down,10,8,P3,0,True,False
qwen3_4b_base,down,10,8,P3,1,True,False
qwen3_4b_base,down,10,8,P3,2,True,False
qwen3_4b_base,down,10,8,P4,0,True,False
qwen3_4b_base,down,10,8,P5,0,True,True
qwen3_4b_base,down,11,max,P1,0,True,True
qwen3_4b_base,down,11,max,P2,0,True,False
qwen3_4b_base,down,11,max,P3,0,True,False
qwen3_4b_base,down,11,max,P3,1,True,False
qwen3_4b_base,down,11,max,P3,2,True,False
qwen3_4b_base,down,11,max,P4,0,True,True
qwen3_4b_base,down,11,max,P5,0,True,True
qwen3_4b_base,down,11,8,P1,0,True,True
qwen3_4b_base,down,11,8,P2,0,True,False
qwen3_4b_base,down,11,8,P3,0,True,False
qwen3_4b_base,down,11,8,P3,1,True,False
qwen3_4b_base,down,11,8,P3,2,True,False
qwen3_4b_base,down,11,8,P4,0,True,False
qwen3_4b_base,down,11,8,P5,0,True,True
qwen3_4b_base,down,12,max,P1,0,True,True
qwen3_4b_base,down,12,max,P2,0,True,False
qwen3_4b_base,down,12,max,P3,0,True,False
qwen3_4b_base,down,12,max,P3,1,True,False
qwen3_4b_base,down,12,max,P3,2,True,False
qwen3_4b_base,down,12,max,P4,0,True,True
qwen3_4b_base,down,12,max,P5,0,True,True
qwen3_4b_base,down,12,8,P1,0,True,True
qwen3_4b_base,down,12,8,P2,0,True,False
qwen3_4b_base,down,12,8,P3,0,True,False
qwen3_4b_base,down,12,8,P3,1,True,False
qwen3_4b_base,down,12,8,P3,2,True,False
qwen3_4b_base,down,12,8,P4,0,True,False
qwen3_4b_base,down,12,8,P5,0,True,True
qwen3_4b_base,down,13,max,P1,0,True,True
qwen3_4b_base,down,13,max,P2,0,True,False
qwen3_4b_base,down,13,max,P3,0,True,False
qwen3_4b_base,down,13,max,P3,1,True,False
qwen3_4b_base,down,13,max,P3,2,True,False
qwen3_4b_base,down,13,max,P4,0,True,True
qwen3_4b_base,down,13,max,P5,0,True,True
qwen3_4b_base,down,13,8,P1,0,True,True
qwen3_4b_base,down,13,8,P2,0,True,False
qwen3_4b_base,down,13,8,P3,0,True,False
qwen3_4b_base,down,13,8,P3,1,True,False
qwen3_4b_base,down,13,8,P3,2,True,False
qwen3_4b_base,down,13,8,P4,0,True,False
qwen3_4b_base,down,13,8,P5,0,True,True
qwen3_4b_base,down,14,max,P1,0,True,True
qwen3_4b_base,down,14,max,P2,0,True,False
qwen3_4b_base,down,14,max,P3,0,True,False
qwen3_4b_base,down,14,max,P3,1,True,False
qwen3_4b_base,down,14,max,P3,2,True,False
qwen3_4b_base,down,14,max,P4,0,True,True
qwen3_4b_base,down,14,max,P5,0,True,True
qwen3_4b_base,down,14,8,P1,0,True,True
qwen3_4b_base,down,14,8,P2,0,True,False
qwen3_4b_base,down,14,8,P3,0,True,False
qwen3_4b_base,down,14,8,P3,1,True,False
qwen3_4b_base,down,14,8,P3,2,True,False
qwen3_4b_base,down,14,8,P4,0,True,False
qwen3_4b_base,down,14,8,P5,0,True,True
qwen3_4b_base,down,15,max,P1,0,True,True
qwen3_4b_base,down,15,max,P2,0,True,False
qwen3_4b_base,down,15,max,P3,0,True,False
qwen3_4b_base,down,15,max,P3,1,True,False
qwen3_4b_base,down,15,max,P3,2,True,False
qwen3_4b_base,down,15,max,P4,0,True,True
qwen3_4b_base,down,15,max,P5,0,True,True
qwen3_4b_base,down,15,8,P1,0,True,True
qwen3_4b_base,down,15,8,P2,0,True,False
qwen3_4b_base,down,15,8,P3,0,True,False
qwen3_4b_base,down,15,8,P3,1,True,False
qwen3_4b_base,down,15,8,P3,2,True,False
qwen3_4b_base,down,15,8,P4,0,True,False
qwen3_4b_base,down,15,8,P5,0,True,True
qwen3_4b_base,down,16,max,P1,0,True,True
qwen3_4b_base,down,16,max,P2,0,True,False
qwen3_4b_base,down,16,max,P3,0,True,False
qwen3_4b_base,down,16,max,P3,1,True,False
qwen3_4b_base,down,16,max,P3,2,True,False
qwen3_4b_base,down,16,max,P4,0,True,True
qwen3_4b_base,down,16,max,P5,0,True,True
qwen3_4b_base,down,16,8,P1,0,True,True
qwen3_4b_base,down,16,8,P2,0,True,False
qwen3_4b_base,down,16,8,P3,0,True,False
qwen3_4b_base,down,16,8,P3,1,True,False
qwen3_4b_base,down,16,8,P3,2,True,False
qwen3_4b_base,down,16,8,P4,0,True,False
qwen3_4b_base,down,16,8,P5,0,True,True
qwen3_4b_base,down,17,max,P1,0,True,True
qwen3_4b_base,down,17,max,P2,0,True,False
qwen3_4b_base,down,17,max,P3,0,True,False
qwen3_4b_base,down,17,max,P3,1,True,False
qwen3_4b_base,down,17,max,P3,2,True,False
qwen3_4b_base,down,17,max,P4,0,True,True
qwen3_4b_base,down,17,max,P5,0,True,True
qwen3_4b_base,down,17,8,P1,0,True,True
qwen3_4b_base,down,17,8,P2,0,True,False
qwen3_4b_base,down,17,8,P3,0,True,False
qwen3_4b_base,down,17,8,P3,1,True,False
qwen3_4b_base,down,17,8,P3,2,True,False
qwen3_4b_base,down,17,8,P4,0,True,False
qwen3_4b_base,down,17,8,P5,0,True,True
qwen3_4b_base,down,18,max,P1,0,True,True
qwen3_4b_base,down,18,max,P2,0,True,False
qwen3_4b_base,down,18,max,P3,0,True,False
qwen3_4b_base,down,18,max,P3,1,True,False
qwen3_4b_base,down,18,max,P3,2,True,False
qwen3_4b_base,down,18,max,P4,0,True,True
qwen3_4b_base,down,18,max,P5,0,True,True
qwen3_4b_base,down,18,8,P1,0,True,True
qwen3_4b_base,down,18,8,P2,0,True,False
qwen3_4b_base,down,18,8,P3,0,True,False
qwen3_4b_base,down,18,8,P3,1,True,False
qwen3_4b_base,down,18,8,P3,2,True,False
qwen3_4b_base,down,18,8,P4,0,True,False
qwen3_4b_base,down,18,8,P5,0,True,True
qwen3_4b_base,down,19,max,P1,0,True,True
qwen3_4b_base,down,19,max,P2,0,True,False
qwen3_4b_base,down,19,max,P3,0,True,False
qwen3_4b_base,down,19,max,P3,1,True,False
qwen3_4b_base,down,19,max,P3,2,True,False
qwen3_4b_base,down,19,max,P4,0,True,True
qwen3_4b_base,down,19,max,P5,0,True,True
qwen3_4b_base,down,19,8,P1,0,True,True
qwen3_4b_base,down,19,8,P2,0,True,False
qwen3_4b_base,down,19,8,P3,0,True,False
qwen3_4b_base,down,19,8,P3,1,True,False
qwen3_4b_base,down,19,8,P3,2,True,False
qwen3_4b_base,down,19,8,P4,0,True,False
qwen3_4b_base,down,19,8,P5,0,True,True
qwen3_4b_base,down,20,max,P1,0,True,True
qwen3_4b_base,down,20,max,P2,0,True,False
qwen3_4b_base,down,20,max,P3,0,True,False
qwen3_4b_base,down,20,max,P3,1,True,False
qwen3_4b_base,down,20,max,P3,2,True,False
qwen3_4b_base,down,20,max,P4,0,True,True
qwen3_4b_base,down,20,max,P5,0,True,True
qwen3_4b_base,down,20,8,P1,0,True,True
qwen3_4b_base,down,20,8,P2,0,True,False
qwen3_4b_base,down,20,8,P3,0,True,False
qwen3_4b_base,down,20,8,P3,1,True,False
qwen3_4b_base,down,20,8,P3,2,True,False
qwen3_4b_base,down,20,8,P4,0,True,False
qwen3_4b_base,down,20,8,P5,0,True,True
qwen3_4b_base,down,21,max,P1,0,True,True
qwen3_4b_base,down,21,max,P2,0,True,False
qwen3_4b_base,down,21,max,P3,0,True,False
qwen3_4b_base,down,21,max,P3,1,True,False
qwen3_4b_base,down,21,max,P3,2,True,False
qwen3_4b_base,down,21,max,P4,0,True,True
qwen3_4b_base,down,21,max,P5,0,True,True
qwen3_4b_base,down,21,8,P1,0,True,True
qwen3_4b_base,down,21,8,P2,0,True,False
qwen3_4b_base,down,21,8,P3,0,True,False
qwen3_4b_base,down,21,8,P3,1,True,False
qwen3_4b_base,down,21,8,P3,2,True,False
qwen3_4b_base,down,21,8,P4,0,True,False
qwen3_4b_base,down,21,8,P5,0,True,True
qwen3_4b_base,down,22,max,P1,0,True,True
qwen3_4b_base,down,22,max,P2,0,True,False
qwen3_4b_base,down,22,max,P3,0,True,False
qwen3_4b_base,down,22,max,P3,1,True,False
qwen3_4b_base,down,22,max,P3,2,True,False
qwen3_4b_base,down,22,max,P4,0,True,True
qwen3_4b_base,down,22,max,P5,0,True,True
qwen3_4b_base,down,22,8,P1,0,True,True
qwen3_4b_base,down,22,8,P2,0,True,False
qwen3_4b_base,down,22,8,P3,0,True,False
qwen3_4b_base,down,22,8,P3,1,True,False
qwen3_4b_base,down,22,8,P3,2,True,False
qwen3_4b_base,down,22,8,P4,0,True,False
qwen3_4b_base,down,22,8,P5,0,True,True
qwen3_4b_base,down,23,max,P1,0,True,True
qwen3_4b_base,down,23,max,P2,0,True,False
qwen3_4b_base,down,23,max,P3,0,True,False
qwen3_4b_base,down,23,max,P3,1,True,False
qwen3_4b_base,down,23,max,P3,2,True,False
qwen3_4b_base,down,23,max,P4,0,True,True
qwen3_4b_base,down,23,max,P5,0,True,True
qwen3_4b_base,down,23,8,P1,0,True,True
qwen3_4b_base,down,23,8,P2,0,True,False
qwen3_4b_base,down,23,8,P3,0,True,False
qwen3_4b_base,down,23,8,P3,1,True,False
qwen3_4b_base,down,23,8,P3,2,True,False
qwen3_4b_base,down,23,8,P4,0,True,False
qwen3_4b_base,down,23,8,P5,0,True,True
qwen3_4b_base,down,24,max,P1,0,True,True
qwen3_4b_base,down,24,max,P2,0,True,False
qwen3_4b_base,down,24,max,P3,0,True,False
qwen3_4b_base,down,24,max,P3,1,True,False
qwen3_4b_base,down,24,max,P3,2,True,False
qwen3_4b_base,down,24,max,P4,0,True,True
qwen3_4b_base,down,24,max,P5,0,True,True
qwen3_4b_base,down,24,8,P1,0,True,True
qwen3_4b_base,down,24,8,P2,0,True,False
qwen3_4b_base,down,24,8,P3,0,True,False
qwen3_4b_base,down,24,8,P3,1,True,False
qwen3_4b_base,down,24,8,P3,2,True,False
qwen3_4b_base,down,24,8,P4,0,True,False
qwen3_4b_base,down,24,8,P5,0,True,True
qwen3_4b_base,down,25,max,P1,0,True,True
qwen3_4b_base,down,25,max,P2,0,True,False
qwen3_4b_base,down,25,max,P3,0,True,False
qwen3_4b_base,down,25,max,P3,1,True,False
qwen3_4b_base,down,25,max,P3,2,True,False
qwen3_4b_base,down,25,max,P4,0,True,True
qwen3_4b_base,down,25,max,P5,0,True,True
qwen3_4b_base,down,25,8,P1,0,True,True
qwen3_4b_base,down,25,8,P2,0,True,False
qwen3_4b_base,down,25,8,P3,0,True,False
qwen3_4b_base,down,25,8,P3,1,True,False
qwen3_4b_base,down,25,8,P3,2,True,False
qwen3_4b_base,down,25,8,P4,0,True,False
qwen3_4b_base,down,25,8,P5,0,True,True
qwen3_4b_base,down,26,max,P1,0,True,True
qwen3_4b_base,down,26,max,P2,0,True,False
qwen3_4b_base,down,26,max,P3,0,True,False
qwen3_4b_base,down,26,max,P3,1,True,False
qwen3_4b_base,down,26,max,P3,2,True,False
qwen3_4b_base,down,26,max,P4,0,True,True
qwen3_4b_base,down,26,max,P5,0,True,True
qwen3_4b_base,down,26,8,P1,0,True,True
qwen3_4b_base,down,26,8,P2,0,True,False
qwen3_4b_base,down,26,8,P3,0,True,False
qwen3_4b_base,down,26,8,P3,1,True,False
qwen3_4b_base,down,26,8,P3,2,True,False
qwen3_4b_base,down,26,8,P4,0,True,False
qwen3_4b_base,down,26,8,P5,0,True,True
qwen3_4b_base,down,27,max,P1,0,True,True
qwen3_4b_base,down,27,max,P2,0,True,False
qwen3_4b_base,down,27,max,P3,0,True,False
qwen3_4b_base,down,27,max,P3,1,True,False
qwen3_4b_base,down,27,max,P3,2,True,False
qwen3_4b_base,down,27,max,P4,0,True,True
qwen3_4b_base,down,27,max,P5,0,True,True
qwen3_4b_base,down,27,8,P1,0,True,True
qwen3_4b_base,down,27,8,P2,0,True,False
qwen3_4b_base,down,27,8,P3,0,True,False
qwen3_4b_base,down,27,8,P3,1,True,False
qwen3_4b_base,down,27,8,P3,2,True,False
qwen3_4b_base,down,27,8,P4,0,True,False
qwen3_4b_base,down,27,8,P5,0,True,True
qwen3_4b_base,down,28,max,P1,0,True,True
qwen3_4b_base,down,28,max,P2,0,True,False
qwen3_4b_base,down,28,max,P3,0,True,False
qwen3_4b_base,down,28,max,P3,1,True,False
qwen3_4b_base,down,28,max,P3,2,True,False
qwen3_4b_base,down,28,max,P4,0,True,True
qwen3_4b_base,down,28,max,P5,0,True,True
qwen3_4b_base,down,28,8,P1,0,True,True
qwen3_4b_base,down,28,8,P2,0,True,False
qwen3_4b_base,down,28,8,P3,0,True,False
qwen3_4b_base,down,28,8,P3,1,True,False
qwen3_4b_base,down,28,8,P3,2,True,False
qwen3_4b_base,down,28,8,P4,0,True,False
qwen3_4b_base,down,28,8,P5,0,True,True
qwen3_4b_base,down,29,max,P1,0,True,True
qwen3_4b_base,down,29,max,P2,0,True,False
qwen3_4b_base,down,29,max,P3,0,True,False
qwen3_4b_base,down,29,max,P3,1,True,False
qwen3_4b_base,down,29,max,P3,2,True,False
qwen3_4b_base,down,29,max,P4,0,True,True
qwen3_4b_base,down,29,max,P5,0,True,True
qwen3_4b_base,down,29,8,P1,0,True,True
qwen3_4b_base,down,29,8,P2,0,True,False
qwen3_4b_base,down,29,8,P3,0,True,False
qwen3_4b_base,down,29,8,P3,1,True,False
qwen3_4b_base,down,29,8,P3,2,True,False
qwen3_4b_base,down,29,8,P4,0,True,False
qwen3_4b_base,down,29,8,P5,0,True,True
qwen3_4b_base,down,30,max,P1,0,True,True
qwen3_4b_base,down,30,max,P2,0,True,False
qwen3_4b_base,down,30,max,P3,0,True,False
qwen3_4b_base,down,30,max,P3,1,True,False
qwen3_4b_base,down,30,max,P3,2,True,False
qwen3_4b_base,down,30,max,P4,0,True,True
qwen3_4b_base,down,30,max,P5,0,True,True
qwen3_4b_base,down,30,8,P1,0,True,True
qwen3_4b_base,down,30,8,P2,0,True,False
qwen3_4b_base,down,30,8,P3,0,True,False
qwen3_4b_base,down,30,8,P3,1,True,False
qwen3_4b_base,down,30,8,P3,2,True,False
qwen3_4b_base,down,30,8,P4,0,True,False
qwen3_4b_base,down,30,8,P5,0,True,True
qwen3_4b_base,down,31,max,P1,0,True,True
qwen3_4b_base,down,31,max,P2,0,True,False
qwen3_4b_base,down,31,max,P3,0,True,False
qwen3_4b_base,down,31,max,P3,1,True,False
qwen3_4b_base,down,31,max,P3,2,True,False
qwen3_4b_base,down,31,max,P4,0,True,True
qwen3_4b_base,down,31,max,P5,0,True,True
qwen3_4b_base,down,31,8,P1,0,True,True
qwen3_4b_base,down,31,8,P2,0,True,False
qwen3_4b_base,down,31,8,P3,0,True,False
qwen3_4b_base,down,31,8,P3,1,True,False
qwen3_4b_base,down,31,8,P3,2,True,False
qwen3_4b_base,down,31,8,P4,0,True,False
qwen3_4b_base,down,31,8,P5,0,True,True
qwen3_4b_base,down,32,max,P1,0,True,True
qwen3_4b_base,down,32,max,P2,0,True,False
qwen3_4b_base,down,32,max,P3,0,True,False
qwen3_4b_base,down,32,max,P3,1,True,False
qwen3_4b_base,down,32,max,P3,2,True,False
qwen3_4b_base,down,32,max,P4,0,True,True
qwen3_4b_base,down,32,max,P5,0,True,True
qwen3_4b_base,down,32,8,P1,0,True,True
qwen3_4b_base,down,32,8,P2,0,True,False
qwen3_4b_base,down,32,8,P3,0,True,False
qwen3_4b_base,down,32,8,P3,1,True,False
qwen3_4b_base,down,32,8,P3,2,True,False
qwen3_4b_base,down,32,8,P4,0,True,False
qwen3_4b_base,down,32,8,P5,0,True,True
qwen3_4b_base,down,33,max,P1,0,True,True
qwen3_4b_base,down,33,max,P2,0,True,False
qwen3_4b_base,down,33,max,P3,0,True,False
qwen3_4b_base,down,33,max,P3,1,True,False
qwen3_4b_base,down,33,max,P3,2,True,False
qwen3_4b_base,down,33,max,P4,0,True,True
qwen3_4b_base,down,33,max,P5,0,True,True
qwen3_4b_base,down,33,8,P1,0,True,True
qwen3_4b_base,down,33,8,P2,0,True,False
qwen3_4b_base,down,33,8,P3,0,True,False
qwen3_4b_base,down,33,8,P3,1,True,False
qwen3_4b_base,down,33,8,P3,2,True,False
qwen3_4b_base,down,33,8,P4,0,True,False
qwen3_4b_base,down,33,8,P5,0,True,True
qwen3_4b_base,down,34,max,P1,0,True,True
qwen3_4b_base,down,34,max,P2,0,True,False
qwen3_4b_base,down,34,max,P3,0,True,False
qwen3_4b_base,down,34,max,P3,1,True,False
qwen3_4b_base,down,34,max,P3,2,True,False
qwen3_4b_base,down,34,max,P4,0,True,True
qwen3_4b_base,down,34,max,P5,0,True,True
qwen3_4b_base,down,34,8,P1,0,True,True
qwen3_4b_base,down,34,8,P2,0,True,False
qwen3_4b_base,down,34,8,P3,0,True,False
qwen3_4b_base,down,34,8,P3,1,True,False
qwen3_4b_base,down,34,8,P3,2,True,False
qwen3_4b_base,down,34,8,P4,0,True,False
qwen3_4b_base,down,34,8,P5,0,True,True
qwen3_4b_base,down,35,max,P1,0,True,True
qwen3_4b_base,down,35,max,P2,0,True,False
qwen3_4b_base,down,35,max,P3,0,True,False
qwen3_4b_base,down,35,max,P3,1,True,False
qwen3_4b_base,down,35,max,P3,2,True,False
qwen3_4b_base,down,35,max,P4,0,True,True
qwen3_4b_base,down,35,max,P5,0,True,True
qwen3_4b_base,down,35,8,P1,0,True,True
qwen3_4b_base,down,35,8,P2,0,True,False
qwen3_4b_base,down,35,8,P3,0,True,False
qwen3_4b_base,down,35,8,P3,1,True,False
qwen3_4b_base,down,35,8,P3,2,True,False
qwen3_4b_base,down,35,8,P4,0,True,False
qwen3_4b_base,down,35,8,P5,0,True,True
